 2.16  ,  0  ,  0  ,  0 , 0
 2.16  ,  0  ,  0  ,  0 , 0
 2.17  ,  0  ,  0  ,  0 , 0
 2.17  ,  0  ,  0  ,  0 , 0
 2.17  ,  0  ,  0  ,  0 , 0
 2.17  ,  0  ,  0  ,  0 , 0
 2.17  ,  0  ,  0  ,  0 , 0
 2.18  ,  0  ,  0  ,  0 , 0
 2.18  ,  0  ,  0  ,  0 , 0
 2.18  ,  0  ,  0  ,  0 , 0
 2.18  ,  0  ,  0  ,  0 , 0
 2.18  ,  0  ,  0  ,  0 , 0
 2.19  ,  0  ,  0  ,  0 , 0
 2.19  ,  0  ,  0  ,  0 , 0
 2.19  ,  0  ,  0  ,  0 , 0
 2.19  ,  0  ,  0  ,  0 , 0
 2.19  ,  0  ,  0  ,  0 , 0
 2.20  ,  0  ,  0  ,  0 , 0
 2.20  ,  0  ,  0  ,  0 , 0
 2.20  ,  0  ,  0  ,  0 , 0
 2.20  ,  0  ,  0  ,  0 , 0
 2.20  ,  0  ,  0  ,  0 , 0
 2.21  ,  0  ,  0  ,  0 , 0
 2.21  ,  0  ,  0  ,  0 , 0
 2.21  ,  0  ,  0  ,  0 , 0
 2.21  ,  0  ,  0  ,  0 , 0
 2.21  ,  0  ,  0  ,  0 , 0
 2.22  ,  0  ,  0  ,  0 , 0
 2.22  ,  0  ,  0  ,  0 , 0
 2.22  ,  0  ,  0  ,  0 , 0
 2.22  ,  0  ,  0  ,  0 , 0
 2.22  ,  0  ,  0  ,  0 , 0
 2.23  ,  0  ,  0  ,  0 , 0
 2.23  ,  0  ,  0  ,  0 , 0
 2.23  ,  0  ,  0  ,  0 , 0
 2.23  ,  0  ,  0  ,  0 , 0
 2.23  ,  0  ,  0  ,  0 , 0
 2.24  ,  0  ,  0  ,  0 , 0
 2.24  ,  0  ,  0  ,  0 , 0
 2.24  ,  0  ,  0  ,  0 , 0
 2.24  ,  0  ,  0  ,  0 , 0
 2.25  ,  0  ,  0  ,  0 , 0
 2.25  ,  0  ,  0  ,  0 , 0
 2.25  ,  0  ,  0  ,  0 , 0
 2.25  ,  0  ,  0  ,  0 , 0
 2.25  ,  0  ,  0  ,  0 , 0
 2.26  ,  0  ,  0  ,  0 , 0
 2.26  ,  0  ,  0  ,  0 , 0
 2.26  ,  0  ,  0  ,  0 , 0
 2.26  ,  0  ,  0  ,  0 , 0
 2.26  ,  0  ,  0  ,  0 , 0
 2.27  ,  0  ,  0  ,  0 , 0
 2.27  ,  0  ,  0  ,  0 , 0
 2.27  ,  0  ,  0  ,  0 , 0
 2.27  ,  0  ,  0  ,  0 , 0
 2.27  ,  0  ,  0  ,  0 , 0
 2.28  ,  0  ,  0  ,  0 , 0
 2.28  ,  0  ,  0  ,  0 , 0
 2.28  ,  0  ,  0  ,  0 , 0
 2.28  ,  0  ,  0  ,  0 , 0
 2.28  ,  0  ,  0  ,  0 , 0
 2.29  ,  0  ,  0  ,  0 , 0
 2.29  ,  0  ,  0  ,  0 , 0
 2.29  ,  0  ,  0  ,  0 , 0
 2.29  ,  0  ,  0  ,  0 , 0
 2.29  ,  0  ,  0  ,  0 , 0
 2.30  ,  0  ,  0  ,  0 , 0
 2.30  ,  0  ,  0  ,  0 , 0
 2.30  ,  0  ,  0  ,  0 , 0
 2.30  ,  0  ,  0  ,  0 , 0
 2.30  ,  0  ,  0  ,  0 , 0
 2.31  ,  0  ,  0  ,  0 , 0
 2.31  ,  0  ,  0  ,  0 , 0
 2.31  ,  0  ,  0  ,  0 , 0
 2.31  ,  0  ,  0  ,  0 , 0
 2.31  ,  0  ,  0  ,  0 , 0
 2.32  ,  0  ,  0  ,  0 , 0
 2.32  ,  0  ,  0  ,  0 , 0
 2.32  ,  0  ,  0  ,  0 , 0
 2.32  ,  0  ,  0  ,  0 , 0
 2.32  ,  0  ,  0  ,  0 , 0
 2.33  ,  0  ,  0  ,  0 , 0
 2.33  ,  0  ,  0  ,  0 , 0
 2.33  ,  0  ,  0  ,  0 , 0
 2.33  ,  0  ,  0  ,  0 , 0
 2.33  ,  0  ,  0  ,  0 , 0
 2.34  ,  0  ,  0  ,  0 , 0
 2.34  ,  0  ,  0  ,  0 , 0
 2.34  ,  0  ,  0  ,  0 , 0
 2.34  ,  0  ,  0  ,  0 , 0
 2.35  ,  0  ,  0  ,  0 , 0
 2.35  ,  0  ,  0  ,  0 , 0
 2.35  ,  0  ,  0  ,  0 , 0
 2.35  ,  0  ,  0  ,  0 , 0
 2.35  ,  0  ,  0  ,  0 , 0
 2.36  ,  0  ,  0  ,  0 , 0
 2.36  ,  0  ,  0  ,  0 , 0
 2.36  ,  0  ,  0  ,  0 , 0
 2.36  ,  0  ,  0  ,  0 , 0
 2.36  ,  0  ,  0  ,  0 , 0
 2.37  ,  0  ,  0  ,  0 , 0
 2.37  ,  0  ,  0  ,  0 , 0
 2.37  ,  0  ,  0  ,  0 , 0
 2.37  ,  0  ,  0  ,  0 , 0
 2.37  ,  0  ,  0  ,  0 , 0
 2.38  ,  0  ,  0  ,  0 , 0
 2.38  ,  0  ,  0  ,  0 , 0
 2.38  ,  0  ,  0  ,  0 , 0
 2.38  ,  0  ,  0  ,  0 , 0
 2.38  ,  0  ,  0  ,  0 , 0
 2.39  ,  0  ,  0  ,  0 , 0
 2.39  ,  0  ,  0  ,  0 , 0
 2.39  ,  0  ,  0  ,  0 , 0
 2.39  ,  0  ,  0  ,  0 , 0
 2.39  ,  0  ,  0  ,  0 , 0
 2.40  ,  0  ,  0  ,  0 , 0
 2.40  ,  0  ,  0  ,  0 , 0
 2.40  ,  0  ,  0  ,  0 , 0
 2.40  ,  0  ,  0  ,  0 , 0
 2.40  ,  0  ,  0  ,  0 , 0
 2.41  ,  0  ,  0  ,  0 , 0
 2.41  ,  0  ,  0  ,  0 , 0
 2.41  ,  0  ,  0  ,  0 , 0
 2.41  ,  0  ,  0  ,  0 , 0
 2.41  ,  0  ,  0  ,  0 , 0
 2.42  ,  0  ,  0  ,  0 , 0
 2.42  ,  0  ,  0  ,  0 , 0
 2.42  ,  0  ,  0  ,  0 , 0
 2.42  ,  0  ,  0  ,  0 , 0
 2.42  ,  0  ,  0  ,  0 , 0
 2.43  ,  0  ,  0  ,  0 , 0
 2.43  ,  0  ,  0  ,  0 , 0
 2.43  ,  0  ,  0  ,  0 , 0
 2.43  ,  0  ,  0  ,  0 , 0
 2.43  ,  0  ,  0  ,  0 , 0
 2.44  ,  0  ,  0  ,  0 , 0
 2.44  ,  0  ,  0  ,  0 , 0
 2.44  ,  0  ,  0  ,  0 , 0
 2.44  ,  0  ,  0  ,  0 , 0
 2.45  ,  0  ,  0  ,  0 , 0
 2.45  ,  0  ,  0  ,  0 , 0
 2.45  ,  0  ,  0  ,  0 , 0
 2.45  ,  0  ,  0  ,  0 , 0
 2.45  ,  0  ,  0  ,  0 , 0
 2.46  ,  0  ,  0  ,  0 , 0
 2.46  ,  0  ,  0  ,  0 , 0
 2.46  ,  0  ,  0  ,  0 , 0
 2.46  ,  0  ,  0  ,  0 , 0
 2.46  ,  0  ,  0  ,  0 , 0
 2.47  ,  0  ,  0  ,  0 , 0
 2.47  ,  0  ,  0  ,  0 , 0
 2.47  ,  0  ,  0  ,  0 , 0
 2.47  ,  0  ,  0  ,  0 , 0
 2.47  ,  0  ,  0  ,  0 , 0
 2.48  ,  0  ,  0  ,  0 , 0
 2.48  ,  0  ,  0  ,  0 , 0
 2.48  ,  0  ,  0  ,  0 , 0
 2.48  ,  0  ,  0  ,  0 , 0
 2.48  ,  0  ,  0  ,  0 , 0
 2.49  ,  0  ,  0  ,  0 , 0
 2.49  ,  0  ,  0  ,  0 , 0
 2.49  ,  0  ,  0  ,  0 , 0
 2.49  ,  0  ,  0  ,  0 , 0
 2.49  ,  0  ,  0  ,  0 , 0
 2.50  ,  0  ,  0  ,  0 , 0
 2.50  ,  0  ,  0  ,  0 , 0
 2.50  ,  0  ,  0  ,  0 , 0
 2.50  ,  0  ,  0  ,  0 , 0
 2.50  ,  0  ,  0  ,  0 , 0
 2.51  ,  0  ,  0  ,  0 , 0
 2.51  ,  0  ,  0  ,  0 , 0
 2.51  ,  0  ,  0  ,  0 , 0
 2.51  ,  0  ,  0  ,  0 , 0
 2.51  ,  0  ,  0  ,  0 , 0
 2.52  ,  0  ,  0  ,  0 , 0
 2.52  ,  0  ,  0  ,  0 , 0
 2.52  ,  0  ,  0  ,  0 , 0
 2.52  ,  0  ,  0  ,  0 , 0
 2.52  ,  0  ,  0  ,  0 , 0
 2.53  ,  0  ,  0  ,  0 , 0
 2.53  ,  0  ,  0  ,  0 , 0
 2.53  ,  0  ,  0  ,  0 , 0
 2.53  ,  0  ,  0  ,  0 , 0
 2.53  ,  0  ,  0  ,  0 , 0
 2.54  ,  0  ,  0  ,  0 , 0
 2.54  ,  0  ,  0  ,  0 , 0
 2.54  ,  0  ,  0  ,  0 , 0
 2.54  ,  0  ,  0  ,  0 , 0
 2.54  ,  0  ,  0  ,  0 , 0
 2.55  ,  0  ,  0  ,  0 , 0
 2.55  ,  0  ,  0  ,  0 , 0
 2.55  ,  0  ,  0  ,  0 , 0
 2.55  ,  0  ,  0  ,  0 , 0
 2.56  ,  0  ,  0  ,  0 , 0
 2.56  ,  0  ,  0  ,  0 , 0
 2.56  ,  0  ,  0  ,  0 , 0
 2.56  ,  0  ,  0  ,  0 , 0
 2.56  ,  0  ,  0  ,  0 , 0
 2.57  ,  0  ,  0  ,  0 , 0
 2.57  ,  0  ,  0  ,  0 , 0
 2.57  ,  0  ,  0  ,  0 , 0
 2.57  ,  0  ,  0  ,  0 , 0
 2.57  ,  0  ,  0  ,  0 , 0
